CUSTOMERID,NAME,MOBILE,EMAIL,LOGINBYUSING,GENDER,DOB,ANNIVERSARY,PREFERENCES,CREATEDDATE,MODIFIEDDATE,_STG_FILE_NAME,_STG_FILE_LOAD_TS,_STG_FILE_MD5,_COPY_DATA_TS
1,Urvi Batta,8718877329,urvibatta@hotmail.com,Other_EMail,Male,1995-11-09,2018-11-09,"{""FoodPreference"": ""Vegan"", ""CuisineTypes"": [""Continental"", ""Italian"", ""Chinese""]}",2022-06-24T13:01:03.186470,2024-05-31T13:01:03.186476,initial/customer/customers-initial.csv,2025-06-03 09:40:29.000,c498cfba782d90c3d89a84a8160454de,2025-06-05 03:44:20.522
2,Dishani Tella,8797338175,dishanitella@gmail.com,GMail_Account,Male,1999-06-09,2022-06-09,"{""FoodPreference"": ""Non-Veg"", ""CuisineTypes"": [""Mediterranean"", ""Mexican"", ""Continental""]}",2021-11-18T13:01:03.186536,2024-07-04T13:01:03.186538,initial/customer/customers-initial.csv,2025-06-03 09:40:29.000,c498cfba782d90c3d89a84a8160454de,2025-06-05 03:44:20.522
3,Mamooty Rajagopalan,7855092020,mamootyrajagopalan@hotmail.com,Facebook_Account,Other,1995-10-20,2018-10-20,"{""FoodPreference"": ""Veg"", ""CuisineTypes"": [""Italian"", ""Chinese"", ""Thai""]}",2022-04-11T13:01:03.186570,2024-05-29T13:01:03.186572,initial/customer/customers-initial.csv,2025-06-03 09:40:29.000,c498cfba782d90c3d89a84a8160454de,2025-06-05 03:44:20.522
4,Yuvaan Vala,8431003597,yuvaanvala@outlook.com,Other_EMail,Male,2003-09-16,2026-09-16,"{""FoodPreference"": ""Vegan"", ""CuisineTypes"": [""Mediterranean"", ""Italian""]}",2022-01-03T13:01:03.186595,2024-07-03T13:01:03.186596,initial/customer/customers-initial.csv,2025-06-03 09:40:29.000,c498cfba782d90c3d89a84a8160454de,2025-06-05 03:44:20.522
5,Heer Goswami,7426587125,heergoswami@gmail.com,GMail_Account,Corporate,2000-06-15,2023-06-15,"{""FoodPreference"": ""Vegan"", ""CuisineTypes"": [""Indian"", ""Thai""]}",2022-01-08T13:01:03.186618,2024-06-09T13:01:03.186619,initial/customer/customers-initial.csv,2025-06-03 09:40:29.000,c498cfba782d90c3d89a84a8160454de,2025-06-05 03:44:20.522
6,Jiya Ram,7843078528,jiyaram@hotmail.com,Other_EMail,Corporate,1992-09-13,2015-09-13,"{""FoodPreference"": ""Non-Veg"", ""CuisineTypes"": [""Mexican""]}",2022-06-09T13:01:03.186642,2024-08-11T13:01:03.186643,delta/customer/day-01-insert-customer.csv,2025-06-03 09:41:14.000,c3016632187d5b6e206b42ce6a0b564f,2025-06-05 03:45:21.331
7,Tushar Rao,8132578638,tusharrao@outlook.com,Other_EMail,Male,1993-07-25,2016-07-25,"{""FoodPreference"": ""Veg"", ""CuisineTypes"": [""Chinese"", ""Thai"", ""Italian""]}",2022-10-02T13:01:03.186664,2024-07-09T13:01:03.186665,delta/customer/day-01-insert-customer.csv,2025-06-03 09:41:14.000,c3016632187d5b6e206b42ce6a0b564f,2025-06-05 03:45:21.331
8,Shamik Shenoy,7482471462,shamikshenoy@gmail.com,GMail_Account,Other,2003-09-02,2026-09-02,"{""FoodPreference"": ""Veg"", ""CuisineTypes"": [""Chinese""]}",2022-01-15T13:01:03.186687,2024-07-18T13:01:03.186688,delta/customer/day-01-insert-customer.csv,2025-06-03 09:41:14.000,c3016632187d5b6e206b42ce6a0b564f,2025-06-05 03:45:21.331
9,Riya Varkey,7357735712,riyavarkey@yahoo.com,Facebook_Account,Corporate,2001-06-23,2024-06-23,"{""FoodPreference"": ""Vegan"", ""CuisineTypes"": [""Continental"", ""Mediterranean""]}",2022-02-23T13:01:03.186709,2024-09-16T13:01:03.186711,delta/customer/day-02-insert-update.csv,2025-06-03 09:41:14.000,207ad314ae6562c396a5a1c03c740c67,2025-06-05 03:46:38.293
10,Devansh Kalla,7500377785,devanshkalla@gmail.com,GMail_Account,Corporate,2004-12-16,2027-12-16,"{""FoodPreference"": ""Non-Veg"", ""CuisineTypes"": [""Indian""]}",2022-09-03T13:01:03.186734,2024-10-25T13:01:03.186735,delta/customer/day-02-insert-update.csv,2025-06-03 09:41:14.000,207ad314ae6562c396a5a1c03c740c67,2025-06-05 03:46:38.293
2,Dishani Tella,8797338175,dishanitella@gmail.com,GMail_Account,Male,1999-06-09,2022-06-09,"{""FoodPreference"": ""Veg"", ""CuisineTypes"": [""Mediterranean"", ""Mexican"", ""Continental""]}",2021-11-18T13:01:03.186536,2024-07-04T13:01:03.186538,delta/customer/day-02-insert-update.csv,2025-06-03 09:41:14.000,207ad314ae6562c396a5a1c03c740c67,2025-06-05 03:46:38.293
3,Mamooty Rajagopalan,7855092020,mamootyrajagopalan@hotmail.com,Facebook_Account,Other,1995-10-20,2018-10-20,"{""FoodPreference"": ""Vegan"", ""CuisineTypes"": [""Italian"", ""Chinese"", ""Thai""]}",2022-04-11T13:01:03.186570,2024-05-29T13:01:03.186572,delta/customer/day-02-insert-update.csv,2025-06-03 09:41:14.000,207ad314ae6562c396a5a1c03c740c67,2025-06-05 03:46:38.293
4,Yuvaan Vala,8431003597,yuvaanvala@outlook.com,Other_EMail,Male,2003-09-16,2026-09-16,"{""FoodPreference"": ""Non-Veg"", ""CuisineTypes"": [""Mediterranean"", ""Italian""]}",2022-01-03T13:01:03.186595,2024-07-03T13:01:03.186596,delta/customer/day-02-insert-update.csv,2025-06-03 09:41:14.000,207ad314ae6562c396a5a1c03c740c67,2025-06-05 03:46:38.293
